Date,Value,,,,,,,,,,,,,,,,,,,,,,,
01-07-1987,369.14,,,,,,,,,,,,,,,,,,,,,,,
01-08-1987,411.33,,,,,,,,,,,,,,,,,,,,,,,
01-09-1987,353.32,,,,,,,,,,,,,,,,,,,,,,,
01-10-1987,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-11-1987,21.09,,,,,,,,,,,,,,,,,,,,,,,
01-12-1987,0,,,,,,,,,,,,,,,,,,,,,,,
01-01-1988,0,,,,,,,,,,,,,,,,,,,,,,,
01-02-1988,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-03-1988,31.64,,,,,,,,,,,,,,,,,,,,,,,
01-04-1988,5.27,,,,,,,,,,,,,,,,,,,,,,,
01-05-1988,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-06-1988,184.57,,,,,,,,,,,,,,,,,,,,,,,
01-07-1988,242.58,,,,,,,,,,,,,,,,,,,,,,,
01-08-1988,437.7,,,,,,,,,,,,,,,,,,,,,,,
01-09-1988,110.74,,,,,,,,,,,,,,,,,,,,,,,
01-10-1988,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-11-1988,0,,,,,,,,,,,,,,,,,,,,,,,
01-12-1988,21.09,,,,,,,,,,,,,,,,,,,,,,,
01-01-1989,0,,,,,,,,,,,,,,,,,,,,,,,
01-02-1989,0,,,,,,,,,,,,,,,,,,,,,,,
01-03-1989,5.27,,,,,,,,,,,,,,,,,,,,,,,
01-04-1989,0,,,,,,,,,,,,,,,,,,,,,,,
01-05-1989,42.19,,,,,,,,,,,,,,,,,,,,,,,
01-06-1989,68.55,,,,,,,,,,,,,,,,,,,,,,,
01-07-1989,279.49,,,,,,,,,,,,,,,,,,,,,,,
01-08-1989,110.74,,,,,,,,,,,,,,,,,,,,,,,
01-09-1989,131.84,,,,,,,,,,,,,,,,,,,,,,,
01-10-1989,26.37,,,,,,,,,,,,,,,,,,,,,,,
01-11-1989,0,,,,,,,,,,,,,,,,,,,,,,,
01-12-1989,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-01-1990,0,,,,,,,,,,,,,,,,,,,,,,,
01-02-1990,26.37,,,,,,,,,,,,,,,,,,,,,,,
01-03-1990,0,,,,,,,,,,,,,,,,,,,,,,,
01-04-1990,0,,,,,,,,,,,,,,,,,,,,,,,
01-05-1990,15.82,,,,,,,,,,,,,,,,,,,,,,,
01-06-1990,247.85,,,,,,,,,,,,,,,,,,,,,,,
01-07-1990,495.7,,,,,,,,,,,,,,,,,,,,,,,
01-08-1990,131.84,,,,,,,,,,,,,,,,,,,,,,,
01-09-1990,110.74,,,,,,,,,,,,,,,,,,,,,,,
01-10-1990,26.37,,,,,,,,,,,,,,,,,,,,,,,
